#Insert size (bp)	insert size
543.0	51856.0
544.0	50995.0
545.0	49734.0
546.0	49113.0
547.0	48717.0
548.0	48187.0
549.0	47467.0
550.0	47426.0
551.0	46891.0
552.0	45835.0
553.0	44760.0
554.0	45028.0
555.0	43497.0
556.0	43116.0
557.0	42496.0
558.0	42137.0
559.0	41430.0
560.0	41193.0
561.0	40236.0
562.0	39545.0
563.0	40490.0
564.0	38844.0
565.0	38288.0
566.0	37067.0
567.0	37019.0
568.0	36260.0
569.0	36185.0
570.0	35211.0
571.0	35020.0
572.0	34558.0
573.0	34417.0
574.0	33421.0
575.0	33129.0
576.0	32733.0
577.0	32016.0
578.0	31461.0
579.0	31670.0
580.0	31819.0
581.0	30114.0
582.0	30069.0
583.0	29229.0
584.0	28770.0
585.0	28762.0
586.0	28522.0
587.0	28040.0
588.0	27251.0
589.0	26917.0
590.0	26438.0
591.0	26172.0
592.0	25476.0
593.0	25222.0
594.0	25288.0
595.0	24948.0
596.0	24227.0
597.0	23976.0
598.0	23550.0
599.0	23369.0
600.0	23032.0
601.0	22560.0
602.0	22153.0
603.0	21670.0
604.0	21256.0
605.0	21106.0
606.0	20750.0
607.0	20325.0
608.0	20042.0
609.0	20197.0
610.0	19175.0
611.0	19138.0
612.0	19132.0
613.0	18248.0
614.0	17875.0
615.0	17578.0
616.0	17907.0
617.0	17462.0
618.0	17243.0
619.0	16908.0
620.0	16427.0
621.0	16137.0
622.0	15838.0
623.0	15796.0
624.0	15375.0
625.0	15269.0
626.0	14641.0
627.0	14733.0
628.0	14280.0
629.0	14354.0
630.0	13927.0
631.0	13749.0
632.0	13638.0
633.0	13142.0
634.0	13246.0
635.0	12911.0
636.0	12462.0
637.0	12444.0
638.0	12230.0
639.0	11906.0
640.0	11708.0
641.0	11695.0
642.0	11476.0
643.0	11185.0
644.0	11210.0
645.0	10989.0
646.0	10776.0
647.0	10412.0
648.0	10349.0
649.0	10202.0
650.0	10155.0
651.0	9775.0
652.0	9801.0
653.0	9781.0
654.0	9626.0
655.0	9140.0
656.0	9112.0
657.0	9113.0
658.0	8693.0
659.0	8562.0
660.0	8630.0
661.0	8218.0
662.0	8121.0
663.0	8010.0
664.0	7853.0
665.0	7753.0
666.0	7578.0
667.0	7551.0
668.0	7249.0
669.0	7158.0
670.0	7062.0
671.0	7312.0
672.0	6813.0
673.0	7131.0
674.0	6717.0
675.0	6426.0
676.0	6267.0
677.0	6314.0
678.0	6069.0
679.0	5972.0
680.0	6070.0
681.0	5782.0
682.0	5711.0
683.0	5582.0
684.0	5531.0
685.0	5160.0
686.0	5556.0
687.0	5181.0
688.0	4963.0
689.0	5063.0
690.0	5020.0
691.0	4803.0
692.0	4724.0
693.0	4728.0
694.0	4485.0
695.0	4394.0
696.0	4317.0
697.0	4247.0
698.0	4276.0
699.0	4277.0
700.0	3948.0
701.0	3897.0
702.0	3832.0
703.0	3934.0
704.0	3756.0
705.0	3607.0
706.0	3622.0
707.0	3540.0
708.0	3588.0
709.0	3464.0
710.0	3537.0
711.0	3433.0
712.0	3456.0
713.0	3305.0
714.0	3138.0
715.0	3104.0
716.0	3011.0
717.0	2795.0
718.0	2979.0
719.0	2963.0
720.0	2805.0
721.0	2887.0
