#Position (bp)	Coverage
3.90903863E8	9.785922506713527
3.96964388E8	5.948651148209107
4.02444307E8	5.563467367771767
4.054745695E8	11.320748493815083
4.09085438E8	6.063152779668428
4.15145963E8	6.087652637354025
4.21206488E8	6.077105201282067
4.27267013E8	5.767437309474015
4.33327538E8	5.152674397020061
4.39388063E8	5.506474274093416
4.45448588E8	5.618473977089444
4.51509113E8	5.231808300436018
4.57569638E8	5.385414464918468
4.63630163E8	5.680893981957008
4.69690688E8	6.026376922791342
4.75751213E8	6.327169345890002
4.81811738E8	5.956213034349334
4.87872263E8	6.348128256215427
4.93932788E8	6.294578604988842
4.977176485E8	6.2408169647945
5.00747911E8	5.729715430372096
5.06053838E8	6.130847740088524
5.12114363E8	6.330829589845764
5.18174888E8	5.606832246381296
5.24235413E8	5.811896329113402
5.30295938E8	5.598636256759934
5.36356463E8	6.064504147742976
5.42416988E8	5.626317026990236
5.48477513E8	5.728162659175567
5.54538038E8	5.827658659934577
5.60598563E8	5.750896663242871
5.66659088E8	6.043788615672734
5.72719613E8	6.170917701024251
5.78780138E8	5.52960807850805
5.848168205E8	5.536171925412949
5.87847083E8	4.939624619901436
5.90901188E8	6.309788013414679
5.96961713E8	5.914950437462101
6.03022238E8	5.971957874936577
6.09082763E8	6.013140940760083
6.15143288E8	5.99446863101794
6.21203813E8	5.556777176894741
6.27264338E8	6.356409056971137
6.33324863E8	6.498489487296893
6.39385388E8	5.598374563259783
6.45445913E8	5.446682589379633
6.51506438E8	6.05850829754848
6.57566963E8	6.103728472368318
6.63627488E8	6.211002842163014
6.69688013E8	5.773014549069594
6.73249596E8	6.388601606751481
6.762798585E8	5.295366198975406
6.81809063E8	5.204097169799646
6.87869588E8	5.658266899319778
6.93930113E8	5.901397651193585
6.99990638E8	5.691810692968018
7.06051163E8	5.660600195527615
7.12111688E8	5.6758303942315225
7.18172213E8	5.078375553273025
7.24232738E8	5.156209734305197
7.30293263E8	5.536118735588088
7.36353788E8	5.019869070748821
7.42414313E8	5.210479950169334
7.48474838E8	5.896430259754724
7.529792235E8	5.635250925465514
7.56009486E8	5.631658665563081
7.60595888E8	5.7897069973310895
7.66656413E8	5.8054204874990205
7.72716938E8	5.609338299899761
7.78777463E8	6.881992236646165
7.84837988E8	5.761532705499936
7.90898513E8	6.212917362769727
7.96959038E8	6.384190973554271
8.03019563E8	6.0559279930369065
8.09080088E8	6.341214333741714
8.15140613E8	6.300190330045664
8.21201138E8	6.282861633274345
8.27261663E8	5.946034378209808
8.314417805E8	5.665429119323741
8.34472043E8	5.792494711917497
8.39382713E8	5.432908370149451
8.45443238E8	5.903971190614675
8.51503763E8	5.512339937546665
8.57564288E8	6.287021833917029
8.63624813E8	6.038702422644903
8.69685338E8	6.130624822106996
8.75745863E8	6.159751671678609
8.81806388E8	6.25181597303864
8.87866913E8	5.5636323585827965
8.93927438E8	5.353916203629224
8.99987963E8	5.283952462864191
9.04517679E8	22.067227159761874
9.075479415E8	5.251708083764859
9.12109013E8	5.832954900771798
9.18169538E8	5.699269947735551
9.24230063E8	5.924790179068645
9.30290588E8	6.041430734136069
9.36351113E8	6.24953184748846
9.42411638E8	6.178390980979371
9.48472163E8	5.903793978244459
9.54532688E8	5.772070241439479
9.60593213E8	5.769478386773423
9.66653738E8	5.188246562797778
9.72714263E8	5.4619959491958205
9.768683365E8	6.19520631138154
9.79898599E8	8.963662332873405
9.84835313E8	5.59923026470479
9.90895838E8	5.567703293031545
9.96956363E8	5.320880781780456
1.003016888E9	5.147691165369337
1.009077413E9	6.0571072638096535
1.015137938E9	5.280436760841677
1.021198463E9	6.0413941036461365
1.027258988E9	6.327766323874582
1.033319513E9	6.748751964557526
