#Position (bp)	insert size
4.57569638E8	373.28058392285317
4.63630163E8	372.5816418819028
4.69690688E8	356.2472833062377
4.75751213E8	369.5478075184206
4.81811738E8	369.73974248500315
4.87872263E8	368.026812383323
4.93932788E8	369.00630234031075
4.977176485E8	368.5034747564497
5.00747911E8	370.07766122098025
5.06053838E8	367.62918731139587
5.12114363E8	369.48956848819006
5.18174888E8	372.5235194168347
5.24235413E8	370.3039921076355
5.30295938E8	372.00877185256945
5.36356463E8	370.57611281282584
5.42416988E8	371.3900608234012
5.48477513E8	371.00526284055576
5.54538038E8	372.20791701301124
5.60598563E8	371.75796150969995
5.66659088E8	370.7115795156185
5.72719613E8	369.78471410032523
5.78780138E8	372.7522565024657
5.848168205E8	371.21904094324026
5.87847083E8	367.7173100871731
5.90901188E8	366.4698988287908
5.96961713E8	371.1132113345154
6.03022238E8	370.4373976883774
6.09082763E8	370.05406493709273
6.15143288E8	367.56174563549934
6.21203813E8	368.4063848602759
6.27264338E8	376.98154633000047
6.33324863E8	371.28888770993757
6.39385388E8	371.69595304294097
6.45445913E8	371.45984421896395
6.51506438E8	370.25153930327133
6.57566963E8	369.81607672357376
6.63627488E8	371.43475875885423
6.69688013E8	369.92867038379967
6.73249596E8	370.34529365149245
6.762798585E8	371.43042983237325
6.81809063E8	372.6872032964946
6.87869588E8	370.8995951346352
6.93930113E8	369.09468134075405
6.99990638E8	366.62377262765534
7.06051163E8	370.8321371958124
7.12111688E8	368.6056653412913
7.18172213E8	372.3043524787921
7.24232738E8	373.2106499008041
7.30293263E8	372.01783475732816
7.36353788E8	374.05888724766123
7.42414313E8	371.3207782277477
7.48474838E8	369.70767535806095
7.529792235E8	371.50276312937945
7.56009486E8	372.8878801324277
7.60595888E8	371.2715603211674
7.66656413E8	371.4649821337417
7.72716938E8	371.53683757001295
7.78777463E8	371.48120779266696
7.84837988E8	370.70424222714786
7.90898513E8	369.1526542164556
7.96959038E8	352.406623899155
8.03019563E8	367.1022335017096
8.09080088E8	368.8185106135279
8.15140613E8	367.77294134213696
8.21201138E8	368.19743805487184
8.27261663E8	367.23495366526055
8.314417805E8	368.6972131559126
8.34472043E8	363.8130133087578
8.39382713E8	371.3869343078965
8.45443238E8	369.2565089351449
8.51503763E8	373.16431908045155
8.57564288E8	369.4107627185075
8.63624813E8	369.53828475152943
8.69685338E8	369.8642690293999
8.75745863E8	369.47475436681225
8.81806388E8	368.1841645105905
8.87866913E8	371.29105696831937
8.93927438E8	370.9577280315818
8.99987963E8	372.05963409959895
9.04517679E8	323.7320300109295
9.075479415E8	366.4172282831292
9.12109013E8	369.6167497070403
9.18169538E8	371.66682789476414
9.24230063E8	370.6893488407043
9.30290588E8	369.707160655202
9.36351113E8	365.6094794745744
9.42411638E8	367.992368
9.48472163E8	371.9232358204961
9.54532688E8	370.70621237000546
9.60593213E8	371.55089297186174
9.66653738E8	373.61670251851285
9.72714263E8	370.8985237207969
9.768683365E8	367.7234989358729
9.79898599E8	364.7490509439718
9.84835313E8	371.9088719496056
9.90895838E8	371.22016648788576
9.96956363E8	372.3625298285207
1.003016888E9	370.6974509465447
1.009077413E9	373.61149012567324
1.015137938E9	371.8443055010374
1.021198463E9	369.50273590538427
1.027258988E9	367.5267175572519
1.033319513E9	369.33325771324866
1.039380038E9	366.84677035013027
1.0443459135E9	362.2028104329742
1.047376176E9	370.8348175526505
1.051501088E9	371.18531664487205
1.057561613E9	372.89922794977775
1.063622138E9	371.51514047550893
1.069682663E9	372.5499661896668
