#Position (bp)	mapping quality
1.742400938E9	59.14165093902364
1.748461463E9	59.02639044270956
1.754521988E9	58.97704067361687
1.759643948E9	59.18081101277993
1.7626742105E9	58.747362106837244
1.766643038E9	59.09357161167547
1.772703563E9	58.792553745265835
1.778764088E9	58.55197664879186
1.784824613E9	59.225783812754734
1.790885138E9	59.189814481427966
1.796945663E9	59.06130129485121
1.803006188E9	58.89387296621246
1.809066713E9	58.51371246093564
1.8129015965E9	57.99494977626018
1.815931859E9	59.033571114117606
1.821187763E9	59.25804788367875
1.827248288E9	59.18938242965453
1.833308813E9	59.32183476248526
1.839369338E9	59.4349815258444
1.845429863E9	59.4289051539189
1.851490388E9	59.26003309329721
1.857550913E9	59.402224764320955
1.86112494E9	59.339985890376475
1.8641552025E9	59.367112832620236
1.869671963E9	59.43900751234238
1.875732488E9	58.29395443295948
1.881793013E9	59.044190418363584
1.887853538E9	59.341864520237266
1.893914063E9	59.202777816385606
1.899974588E9	58.95078301258714
1.905072828E9	58.85836819444337
1.9081030905E9	50.82182843080704
1.912095638E9	58.80383144337443
1.918156163E9	59.184547679125835
1.924216688E9	58.690730615366235
1.930277213E9	59.25393505145695
1.936337738E9	59.47863714751861
1.942398263E9	57.04518713591748
1.948458788E9	59.21022179637288
1.9517024095E9	51.68160685559262
1.954732672E9	58.92382262524424
1.960579838E9	59.368646627596924
1.966640363E9	59.317351591987745
1.972700888E9	59.190400614170855
1.978761413E9	59.147418812484155
1.984821938E9	58.873800401336176
1.990882463E9	58.94212055293502
1.99470617E9	58.136997884502804
1.9977364325E9	47.85634597337581
2.003003513E9	59.13909002409096
2.009064038E9	59.189592797985455
2.015124563E9	59.30733281822487
2.021185088E9	59.17664099968889
2.027245613E9	59.297747626084046
2.033306138E9	59.451815290301354
2.0376677585E9	59.20145617394161
2.040698021E9	58.79037139776413
2.045427188E9	59.43538783841252
2.051487713E9	59.205523319475596
2.057548238E9	56.659092602441696
2.063608763E9	59.16197620421478
2.069669288E9	58.930860523719346
2.075729813E9	58.97883414905193
2.08062241E9	58.978292452661684
2.0836526725E9	59.35362523485378
2.087850863E9	59.32660273667252
2.093911388E9	59.24488120114742
2.099971913E9	59.38655071512645
2.106032438E9	59.26899522161997
2.112092963E9	59.245010201233924
2.118153488E9	59.07806907601656
2.122814749E9	50.41284750650807
2.1258450115E9	49.40365706402663
2.130274538E9	59.38958739977721
2.136335063E9	58.43894871371881
2.142395588E9	59.26543300984293
2.148456113E9	59.42939474741399
2.154516638E9	59.488026647379776
2.160577163E9	59.23855149492638
2.164333346E9	59.35952509815089
2.1673636085E9	59.13145982302117
2.172698213E9	59.435278452858505
2.178758738E9	59.17165104723327
2.184819263E9	59.17990708087371
2.190879788E9	59.28841530897013
2.196940313E9	59.06918465965885
2.200471474E9	58.81847759860351
2.2035017365E9	54.94888267417598
2.209061363E9	50.90202898428794
2.215121888E9	58.73384355370877
2.221182413E9	58.546834021997086
2.227242938E9	57.71018320603961
2.233303463E9	44.333038623902375
2.239363988E9	47.42272213433486
2.245424513E9	58.39479185270833
2.251485038E9	58.01356313825413
2.2550298675E9	55.79619680373963
2.256716793E9	52.54184013305599
2.2592324885E9	58.318614162029654
2.263606088E9	58.18176893690318
2.2680379885E9	43.69590404543526
2.271068251E9	58.248788206906944
2.275150289E9	58.409741910692176
2.2781805515E9	58.829041514874156
2.2810649335E9	57.55348874898538
2.284095196E9	48.18215878980189
2.286863889E9	58.83964105596866
2.2898941515E9	59.483590257552294
2.292569301E9	59.3935991396178
2.2955995635E9	58.54143490358273
2.298023116E9	57.93173628837178
2.3010533785E9	59.351933268719094
2.3032761955E9	59.32832138703199
2.305726498E9	58.6339119326715
2.3084800655E9	55.077904487151436
2.310562795E9	56.83438003482481
2.3135930575E9	58.904183440978024
2.3153597735E9	59.13481104973356
2.3173218515E9	57.861796698997466
2.320112891E9	55.261728258582785
2.3218157355E9	59.116825292625954
2.324104308E9	58.3295446975448
2.3264999105E9	58.765268734423664
2.3281018815E9	58.71099824051011
2.3305262675E9	48.557751633474844
2.332696249E9	58.61264237779465
2.3340637585E9	58.44147598324862
2.3361446245E9	59.22090553061966
2.338413254E9	52.255540908874934
2.3396969045E9	58.671513253726275
2.341282827E9	57.88412890173088
2.343768183E9	57.04194554343431
2.345212523E9	59.20428334755358
2.3464412305E9	31.61086457329639
2.348664199E9	58.4722259791721
2.3506764065E9	57.851278753098384
2.351829762E9	58.897152525187686
2.3532287305E9	52.25868895961134
2.35533412E9	57.48786998909181
2.356965414E9	56.585572529157226
2.3579923135E9	58.00502411147132
2.3594256075E9	58.841312743970384
2.3613898805E9	57.68391319251762
2.362986849E9	58.94905406801586
2.363964524E9	51.932583331123745
2.3652977505E9	59.12523084755222
2.367184152E9	41.44406191797072
2.368881188E9	59.12548306516183
2.3697565645E9	59.23040162724606
2.3706984965E9	42.408749950922775
2.372334567E9	59.315199642277705
2.3739034665E9	59.06185508474391
2.3752063695E9	58.55962804896286
2.375970559E9	59.26561172923738
2.3769485995E9	57.34812002538013
2.378384549E9	35.32856066443793
2.379784425E9	59.09247281385612
2.3811339795E9	58.36379902282259
2.381829853E9	59.16203308697242
2.3825553845E9	59.23789091417546
2.3839077945E9	56.74414720981845
2.385231647E9	58.83589016312045
2.3865327585E9	59.29208482962548
2.387513637E9	59.43355940584718
2.3881178915E9	57.76917341078416
2.388976153E9	57.7626587065266
2.390135233E9	54.34162737122367
2.3912785605E9	59.08816757183012
2.3924167735E9	58.74745485509834
2.393445447E9	58.13427116151977
2.3939914115E9	58.91134072886767
2.394571339E9	58.099546804436635
2.3955587125E9	57.4323388694176
2.3965083185E9	33.0954053260894
2.3973815095E9	56.26363189972616
2.398204472E9	57.46422902062582
2.399008019E9	39.638638529420305
2.3996857855E9	58.52221159464672
2.400080534E9	58.72768951084149
2.400576461E9	55.847349095077526
2.401268413E9	36.90887380219458
2.401882513E9	46.2248487379272
2.4024857835E9	52.683223936410386
2.4030750295E9	53.75606392580507
2.4036453465E9	58.79494033568411
2.404194517E9	56.987487577113605
2.4047122695E9	54.57040079604363
