#Position (bp)	insert size
1.4852620925E9	338.6091182703234
1.488292355E9	365.3053074868501
1.493919413E9	364.5465875716556
1.499979938E9	366.5088804990151
1.506040463E9	368.6520009820771
1.512100988E9	369.7677230474048
1.518161513E9	371.53295586400634
1.524222038E9	369.34681983207616
1.530282563E9	366.55801721003513
1.536343088E9	367.45771212255164
1.541143975E9	369.6194838499281
1.5441742375E9	372.350233562489
1.548464138E9	370.1809508509822
1.554524663E9	372.6638147581544
1.560585188E9	372.2981059418797
1.566645713E9	371.80315699807034
1.572706238E9	372.66390720733364
1.578766763E9	371.60077318154003
1.584827288E9	371.84574697849905
1.590887813E9	371.5423181463441
1.5965550695E9	372.2602067636236
1.599585332E9	369.59325056135253
1.603008863E9	369.4487623545876
1.609069388E9	368.9341715483957
1.615129913E9	368.8406669867596
1.621190438E9	370.7057667442462
1.627250963E9	371.30718712259454
1.633311488E9	366.3889539410726
1.639372013E9	372.2570475604427
1.645432538E9	372.0631098271283
1.651493063E9	369.79196034661555
1.6547785435E9	366.56609195402297
1.657808806E9	365.55014936260375
1.663614113E9	363.4004117805031
1.669674638E9	364.752185540391
1.675735163E9	371.18556320708313
1.681795688E9	371.4469345256876
1.687856213E9	371.6213999014154
1.693916738E9	368.0238876299708
1.699977263E9	369.98934515414066
1.705875606E9	370.3467149271511
1.7089058685E9	308.0202923551843
1.712098313E9	372.0383361327932
1.718158838E9	372.32597285572285
1.724219363E9	372.4974867381385
1.730279888E9	369.7890405153416
1.736340413E9	368.04411812561017
1.742400938E9	372.3954409506103
1.748461463E9	371.3580136169144
1.754521988E9	370.9704226838578
1.759643948E9	369.3068434047435
1.7626742105E9	370.6033618233618
1.766643038E9	371.17460549787313
1.772703563E9	371.9716698275084
1.778764088E9	372.2014615449811
1.784824613E9	373.1328039856765
1.790885138E9	372.1314697959678
1.796945663E9	373.3207413226817
1.803006188E9	372.3226613024515
1.809066713E9	366.7741753570127
1.8129015965E9	369.4684901795397
1.815931859E9	370.04661402079864
1.821187763E9	369.6107253053627
1.827248288E9	369.0038946199527
1.833308813E9	372.56513777317093
1.839369338E9	371.32614110014634
1.845429863E9	371.6867184293624
1.851490388E9	371.01314130661655
1.857550913E9	368.7352772732479
1.86112494E9	363.9833280189496
1.8641552025E9	367.97652108321734
